provider,game_name,Game Tag,Game Sub Type,sub_category,casinoGameId,game_id,description,logo_round,logo_square,banner
Qtech,Big Bad Wolf,RNG,Slot,5 Reels,QS-bigbadwolf,5189,-,,,
Qtech,Big Bad Wolf Megaways,RNG,Slot,6 Reels,QS-bigbadwolfmegaways,5190,-,,,
Qtech,Big Bad Wolf: Pigs of Steel,RNG,Slot,5 Reels,QS-bigbadwolfpigsofsteel,5191,-,,,
Qtech,Book of Duat,RNG,Slot,5 Reels,QS-bookofduat,5192,-,,,
Qtech,Brawlers Bar Cash Collect,RNG,Slot,5 Reels,QS-brawlersbarcashcollect,5193,-,,,
Qtech,Brooklyn Bootleggers,RNG,Slot,5 Reels,QS-brooklynbootleggers,5194,-,,,
Qtech,Cash Truck,RNG,Slot,5 Reels,QS-cashtruck,5195,-,,,
Qtech,Cash Truck 2,RNG,Slot,6 Reels,QS-cashtruck2,5196,-,,,
Qtech,Cash Truck Xmas Delivery,RNG,Slot,5 Reels,QS-cashtruckxmasdelivery,5197,-,,,
Qtech,Catrina’s Coins,RNG,Slot,5 Reels,QS-catrinascoins,5198,-,,,
Qtech,Dog Town Deal,RNG,Slot,5 Reels,QS-dogtowndeal,5199,-,,,
Qtech,Dragon Shrine,RNG,Slot,5 Reels,QS-dragonshrine,5200,-,,,
Qtech,Eastern Emeralds,RNG,Slot,5 Reels,QS-easternemeralds,5201,-,,,
Qtech,Eastern Emeralds Megaways,RNG,Slot,5 Reels,QS-easternemeraldsmegaways,5202,-,,,
Qtech,Feasting Fox,RNG,Slot,5 Reels,QS-feastingfox,5203,-,,,
Qtech,Golden Glyph 3,RNG,Slot,7 Reels,QS-goldenglyph3,5204,-,,,
Qtech,Hammer of Vulcan,RNG,Slot,6 Reels,QS-hammerofvulcan,5205,-,,,
Qtech,Raven Rising,RNG,Slot,5 Reels,QS-ravenrising,5206,-,,,
Qtech,Sakura Fortune,RNG,Slot,5 Reels,QS-sakurafortune,5207,-,,,
Qtech,Sakura Fortune 2,RNG,Slot,5 Reels,QS-sakurafortune2,5208,-,,,
Qtech,Sticky Bandits Trail of Blood,RNG,Slot,5 Reels,QS-stickybanditstrailofblood,5209,-,,,
Qtech,Sticky Bandits Unchained,RNG,Slot,5 Reels,QS-stickybanditsunchained,5210,-,,,
Qtech,Warp Wreckers Power Glyph,RNG,Slot,5 Reels,QS-warpwreckerspowerglyph,5211,-,,,
Qtech,Wild Harlequin,RNG,Slot,5 Reels,QS-wildharlequin,5212,-,,,
Qtech,Wins of Fortune,RNG,Slot,5 Reels,QS-winsoffortune,5213,-,,,
Qtech,High Street Heist,RNG,Slot,5 Reels,QS-highstreetheist,5214,-,,,
Qtech,Cash Truck 3 Turbo,RNG,Slot,5 Reels,QS-cashtruck3turbo,5215,-,,,
Qtech,Epic Fish Adventure,RNG,Slot,5 Reels,QS-epicfishadventure,5216,-,,,
Qtech,Reel Nightmare,RNG,Slot,5 Reels,QS-reelnightmare,5217,-,,,
Qtech,Sakura Fortune Epic Bloom,RNG,Slot,5 Reels,QS-sakurafortuneepicbloom,5218,-,,,
